Summary,Issue Type,Priority,Labels,Description
"HIPAA Audit Logging",Story,High,"compliance,infrastructure,phase-1","Log all data mutations with userId, timestamp, resource type, and action for HIPAA compliance.

Current state: Not implemented. CLAUDE.md mentions Prisma middleware approach.

Acceptance Criteria:
- Prisma middleware that intercepts all create/update/delete operations
- Log to AuditLog table: (id, userId, action ENUM [CREATE, UPDATE, DELETE], resourceType, resourceId, metadata JSON, timestamp)
- Never log PII at INFO level — only IDs and operation names
- GET /api/admin/audit-logs — admin-only, filterable by userId, resourceType, action, date range, cursor-based pagination
- Retention policy: configurable, default 7 years

Dependencies: Auth (done)"
"Push Notifications (Full Integration)",Story,Medium,"notifications,phase-1","Wire up existing notification infrastructure with session/homework lifecycle scheduling.

Current state: Expo push sending works. pg-boss queue exists. Morning check-in and weekly review workers defined. Not fully integrated.

Acceptance Criteria:
- Session reminders: 3 notifications per session (24h, 1h, 10min before) — auto-scheduled on session creation
- Homework reminders: based on reminderCadence, only sent if homework not completed
- Morning check-in: daily at participant preferred time, rotating warm copy
- Weekly review: weekly at preferred day/time
- Notification preferences respected (category toggles, preferred times)
- Cancel reminders when homework completed or session cancelled
- Smart escalation: after 3+ dismissals in 7 days, switch to diagnostic prompt copy

Dependencies: Sessions (ticket #2), Notification preferences (done), Queue (done)"
"Accountability Partners",Story,Low,"social,phase-2","Participants can invite an accountability partner who receives weekly aggregate summaries.

Current state: Not implemented.

DB:
- AccountabilityPartner model: (id, participantId, partnerName, partnerEmail, inviteCode UNIQUE, inviteStatus ENUM [PENDING, ACCEPTED, REVOKED], createdAt)
- PartnerWeeklySummary model: (id, partnerId, weekStartDate, tasksCompleted, totalTasks, journalEntries, nextSessionDate?, sentAt)

API:
- POST /api/partners/invite — generate invite, send email
- GET /api/partners — list partners
- DELETE /api/partners/:id — revoke
- GET /api/partners/summary/:inviteCode — public (no auth), aggregate only. NEVER task/journal content or clinical data
- Background job: weekly summary generation + email every Sunday

Mobile:
- Settings > Accountability Partners: invite form, partner list, remove button
- Privacy note: partner sees weekly summary only, never details

Dependencies: Tasks (done), Journal (done)"
"Gamification & Animations",Story,Low,"mobile,ux,phase-3","Completion animations, streaks with milestones, and module celebration overlays.

Current state: Basic task completion with optimistic UI. No animations or streak badges.

Acceptance Criteria:
- Task check-off: spring scale animation on checkbox, haptic feedback (expo-haptics), task row fades after 1s
- Streak badges on home screen: journaling, app check-in, homework. Forgive 1 gap day per 7-day window logic
- Milestone popups at 7, 14, 21, 30 days: celebratory bottom sheet
- Module completion: full-screen overlay with confetti (react-native-confetti-cannon), module title, clinician message or default

Dependencies: Stats service (ticket #4)"
"Voice Capture",Story,Low,"mobile,phase-3","Voice-to-text for quick task capture and journal entries.

Current state: Not implemented.

Acceptance Criteria:
- Long-press FAB activates voice recording, transcribes, populates task title input
- Journal screen: mic button next to TextInput, voice-to-text into entry
- Visual indicator while recording (pulsing red dot)
- Use expo-speech-recognition or react-native-voice

Dependencies: None"
"Maintenance Phase & Unsteadiness Detector",Story,Medium,"post-program,phase-3","Post-program features: follow-up scheduling, maintenance journal prompts, automated engagement monitoring.

Current state: Not implemented.

CAS — Program Settings:
- Maintenance Phase section: toggle, follow-up session count, follow-up timing, content access toggle, maintenance journal prompts with cadence

API:
- On enrollment COMPLETED: schedule follow-up sessions, begin maintenance prompts, start monitoring
- Unsteadiness detector (daily background job): check last N days for task completion, journal entries, app opens. If all three inactive for N consecutive days, send re-steady notification linking to maintenance plan

Mobile:
- Module 7 homework: maintenance plan creation (how will I know I'm unsteady, what will I do, who's my partner)
- Post-completion: Steady System stays functional, program content accessible, home screen shows Maintenance mode
- Follow-up sessions appear on calendar

Dependencies: Sessions (ticket #2), Analytics (ticket #4), Notifications (ticket #12)"
"Multi-Clinician Practice Support",Story,Low,"multi-tenant,phase-3","Support for group practices with shared templates, practice-wide dashboard, and bulk actions.

Current state: Not implemented.

DB:
- Practice model: (id, name, ownerId)
- PracticeMembership: (id, practiceId, clinicianId, role ENUM [OWNER, CLINICIAN], joinedAt)
- Program.practiceId nullable FK

API:
- Practice CRUD, invite clinicians, list members
- Practice-scoped programs visible to all members as clonable templates
- Practice owner dashboard: aggregate stats across all clinicians

CAS — Bulk Actions:
- Participant list: multi-select checkboxes
- Floating action bar: Unlock Next Module, Send Nudge, Push Task for all selected
- Confirmation dialog

Dependencies: Programs (done), Participants page (ticket #1)"
"Content Versioning",Story,Low,"content,phase-3","Track part content history and allow rollback. Handle published program edits.

Current state: Not implemented.

DB:
- ContentVersion: (id, partId, versionNumber, content JSON, createdAt, createdBy)

API:
- Auto-save current content as new version before any Part update
- GET /api/parts/:id/versions — version history
- POST /api/parts/:id/versions/:versionId/restore — restore old version (creates new version)
- Push to active participants flow: banner warning when editing published program, button to push changes

Dependencies: Parts (done)"
"Offline Support (Mobile)",Story,Low,"mobile,infrastructure,phase-3","AsyncStorage persistence for React Query cache + offline mutation queue.

Current state: TanStack Query used but no persistence or offline support.

Acceptance Criteria:
- React Query cache persisted to AsyncStorage
- Stale times: 5min for tasks/journal, 1hr for program content
- Optimistic mutations for task operations (create, complete) — queued offline, synced on reconnect
- Offline mutation queue in AsyncStorage with retry logic
- Offline indicator in app header

Dependencies: None"
"Template Marketplace",Story,Low,"marketplace,phase-4","Clinicians can publish programs as templates for others to purchase/clone.

Current state: Clone endpoint exists. isTemplate field exists on Program.

Acceptance Criteria:
- Program additions: isPublished, price, previewImages
- GET /api/marketplace — public listing
- POST /api/marketplace/:programId/purchase — clone + Stripe payment
- Admin approval queue
- CAS: Marketplace tab, browse/search/filter, purchase flow

Dependencies: Stripe integration, Admin panel"
"Self-Guided Tier",Story,Low,"marketplace,phase-4","Participants can purchase and complete programs without a clinician.

Acceptance Criteria:
- Program settings: selfGuidedEnabled, selfGuidedPrice
- Self-enrollment: participant purchases directly, no invite needed
- Module unlock: time-based (cadence) or part completion only — no session gate
- Remove session-dependent UI in self-guided mode
- Steady System fully available

Dependencies: Marketplace (ticket #20), TIME_BASED unlock (ticket #3)"
"AI-Powered Features",Story,Low,"ai,phase-4","Claude API integration for smart prompts, content review, and weekly summaries.

Acceptance Criteria:
- Smart journal prompts: low regulation score triggers personalized prompt based on recent patterns/barriers via Claude API
- Content quality assistant: Review my content button in CAS, Claude suggests ADHD-friendly formatting and tone improvements
- Weekly insight summary: natural-language summary of participant week for clinician session prep

Dependencies: Analytics (ticket #4), Journal (done), Anthropic API"
